[Debug] Encriptando bloques (archivo original: 11450 bytes):
[Block 203] IN: V0=0x4275656E, V1=0x6F732041 -> C0=0xF3E1482F, C1=0xBB0283F9
[Block 204] IN: V0=0x69726573, V1=0x3B206372 -> C0=0x2D21DF1C, C1=0x35BF302B
[Block 205] IN: V0=0x65C3AD61, V1=0x20717565 -> C0=0xEAD2A56E, C1=0x9866F69F
[Block 206] IN: V0=0x206C6F73, V1=0x20676175 -> C0=0xDA285CA0, C1=0xE3DDA86B
[Block 207] IN: V0=0x63686F73, V1=0x20646520 -> C0=0x1729CCC7, C1=0x0493E951
[Block 208] IN: V0=0x6C61206C, V1=0x6C616E75 -> C0=0x93D2CFB2, C1=0x88EEC9FC
[Block 209] IN: V0=0x72612073, V1=0x6F6E206D -> C0=0xC8706BF6, C1=0x4602D341
[Block 210] IN: V0=0x656A6F72, V1=0x6573206A -> C0=0x862921F2, C1=0x98A82C33
[Block 211] IN: V0=0x696E6574, V1=0x65732071 -> C0=0xA6C56D1D, C1=0xD4E11260
[Block 212] IN: V0=0x7565206C, V1=0x6F732064 -> C0=0xC646E32C, C1=0xB5F257CC
[Block 213] IN: V0=0x65206C61, V1=0x73206375 -> C0=0x84ABCAF6, C1=0xEB74B116
[Block 214] IN: V0=0x6368696C, V1=0x6C617320 -> C0=0x016A2963, C1=0x6139BE4F
[Block 215] IN: V0=0x6F206C6F, V1=0x73206365 -> C0=0x3A03661D, C1=0x6CA9D2AE
[Block 216] IN: V0=0x72726F73, V1=0x2E204375 -> C0=0x823CEAC6, C1=0x3189BBD3
[Block 217] IN: V0=0x616E646F, V1=0x2044616E -> C0=0x5B55120D, C1=0x185E07FC
[Block 218] IN: V0=0x69656C2C, V1=0x20737520 -> C0=0xD3C0C14E, C1=0x27B27003
[Block 219] IN: V0=0x7072696D, V1=0x6F2C206C -> C0=0xAD130518, C1=0xCE2E5B9C
[Block 220] IN: V0=0x65207072, V1=0x6F707573 -> C0=0xD89E478A, C1=0x406859BF
[Block 221] IN: V0=0x6F207665, V1=0x72616E65 -> C0=0xB46DC553, C1=0x83F5B49E
[Block 222] IN: V0=0x61722065, V1=0x6E204C6F -> C0=0x5B54BEDE, C1=0x151BC7B2
